iteration,success,runtime,trajectory_length,trajectory_time,avg_velocity,num_states_in_tree,num_RRT_iterations,ctrl_effort_max,ctrl_effort_mean,ctrl_effort_std
1,1,0.9307131767272949,5.292015,2.16,2.8419206,6,9,9.84093,0.9113123,0.76268685
2,1,1.3849937915802002,5.034824,2.1,2.7841892,10,12,9.459928,0.80627346,0.74694705
3,1,14.99531626701355,5.1306453,2.12,2.8122458,82,199,9.874247,0.8751655,0.7693517
4,1,0.5833740234375,5.4379463,2.22,2.8711839,5,3,9.861681,0.9002536,0.74523574
5,1,41.11765933036804,5.1173487,2.12,2.804027,205,501,9.938173,0.84298646,0.759735
6,0,60.097259759902954,-1,0,-1,-1,558,-1,-1,-1
7,1,5.304301023483276,5.3592734,2.18,2.84669,27,66,9.909551,0.9007847,0.7568375
8,1,1.517120599746704,5.288886,2.16,2.8375738,9,15,9.758775,0.8997096,0.76229423
9,1,3.271294593811035,5.135676,2.12,2.8117983,18,37,9.527636,0.8149233,0.76031744
10,0,60.18209528923035,-1,0,-1,-1,615,-1,-1,-1
11,1,0.8843541145324707,5.438742,2.22,2.870196,7,5,9.78918,0.8857295,0.74827105
12,0,60.21546530723572,-1,0,-1,-1,689,-1,-1,-1
13,1,1.9017422199249268,5.283184,2.16,2.8320043,12,17,9.700037,0.8956188,0.7601996
14,0,60.13196158409119,-1,0,-1,-1,691,-1,-1,-1
15,1,1.5020833015441895,5.2016616,2.14,2.8192809,10,13,9.703641,0.9081795,0.75779206
